epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
163,1568.12,1.12131,0.60375,0.89527,0.92525,0.77235,0.83361,0.54823,1.02228,0.50527,0.86484,0.000220089,0.000220089,0.000220089
164,1577.71,1.12496,0.60131,0.89197,0.91657,0.78096,0.83496,0.54859,1.02597,0.50727,0.86535,0.00021459,0.00021459,0.00021459
165,1587.51,1.11495,0.6012,0.89655,0.93096,0.77206,0.8363,0.54938,1.02305,0.50831,0.8647,0.00020909,0.00020909,0.00020909
166,1597.25,1.12854,0.60956,0.89593,0.93122,0.77353,0.83754,0.54983,1.02248,0.50587,0.86465,0.000203591,0.000203591,0.000203591
167,1606.95,1.11419,0.58973,0.89141,0.90681,0.78217,0.83829,0.55113,1.0206,0.50523,0.86362,0.000198091,0.000198091,0.000198091
168,1616.62,1.12897,0.61157,0.89559,0.91787,0.77697,0.83749,0.55087,1.01867,0.50487,0.86257,0.000192592,0.000192592,0.000192592
169,1626.24,1.11707,0.60433,0.89937,0.89262,0.79088,0.83646,0.55116,1.01862,0.50371,0.8629,0.000187092,0.000187092,0.000187092
170,1635.86,1.12359,0.60627,0.89729,0.88742,0.79433,0.83777,0.54894,1.01775,0.50187,0.86259,0.000181593,0.000181593,0.000181593
171,1645.49,1.13156,0.60187,0.90053,0.88436,0.78417,0.8394,0.5487,1.01724,0.50186,0.8619,0.000176094,0.000176094,0.000176094
172,1655.11,1.13089,0.60999,0.89124,0.8879,0.78001,0.83469,0.54537,1.02091,0.50332,0.8625,0.000170594,0.000170594,0.000170594
173,1664.73,1.12694,0.61431,0.89398,0.92189,0.77371,0.84018,0.54905,1.02131,0.50051,0.86294,0.000165095,0.000165095,0.000165095
174,1674.35,1.09644,0.59662,0.89308,0.91846,0.7717,0.83844,0.54915,1.02168,0.49908,0.86318,0.000159595,0.000159595,0.000159595
175,1683.92,1.11571,0.59322,0.89591,0.92003,0.76621,0.83503,0.54774,1.01643,0.49846,0.86289,0.000154096,0.000154096,0.000154096
176,1693.47,1.11294,0.59091,0.89466,0.92002,0.7636,0.83181,0.54709,1.01551,0.49709,0.86245,0.000148596,0.000148596,0.000148596
177,1702.98,1.13115,0.59791,0.89361,0.92076,0.76298,0.83361,0.54899,1.014,0.4974,0.86234,0.000143097,0.000143097,0.000143097
178,1712.46,1.10486,0.59904,0.89052,0.92058,0.7629,0.83511,0.55083,1.01483,0.49854,0.86256,0.000137597,0.000137597,0.000137597
179,1721.92,1.10746,0.59805,0.89092,0.91779,0.76602,0.83489,0.54805,1.01447,0.49936,0.86241,0.000132098,0.000132098,0.000132098
180,1731.54,1.11856,0.5992,0.89464,0.91395,0.7684,0.83348,0.54853,1.01353,0.49917,0.86222,0.000126598,0.000126598,0.000126598
